location,price,total_sqft,No. of Bedrooms,School,24X7Security,CarParking,Hospital,LiftAvailable
Nallakunta,11200000,1460,3,0,0,0,0,0
Malkajgiri,4200000,1175,2,0,0,0,0,0
Kompally,4900000,1360,2,0,1,1,0,1
Kondapur,7554000,1220,2,0,1,1,0,1
Kondapur,11399999,1885,3,0,1,1,0,1
Kondapur,7240000,1165,2,0,1,1,0,1
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,9600000,1295,2,0,0,0,0,0
Jubilee Hills,10200000,1295,2,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Bandlaguda Jagir,4800000,1200,2,0,0,0,0,0
Bandlaguda Jagir,4800000,1200,2,0,0,0,0,0
Jubilee Hills,12500000,1670,3,0,0,0,0,0
Nanakramguda,16800000,2460,3,0,1,1,0,1
Saroornagar,4000000,1040,2,0,0,0,0,1
Beeramguda,3600000,1107,2,0,0,0,0,1
Begumpet,6000000,1050,2,0,0,0,0,0
Begumpet,6000000,1050,2,0,0,0,0,1
Banjara Hills,33300000,2900,3,0,0,0,0,1
Hitech City,8625000,1150,2,0,0,0,0,1
Saroornagar,4000000,1040,2,0,0,0,0,1
Beeramguda,3600000,1107,2,0,0,0,0,1
Beeramguda,4000000,850,2,0,0,0,0,1
Begumpet,6000000,1050,2,0,0,0,0,0
Begumpet,6000000,1050,2,0,0,0,0,1
Beeramguda,3500000,1080,2,0,0,0,0,1
Beeramguda,3500000,1080,2,0,0,0,0,0
Boduppal,2300000,1100,2,0,0,0,0,0
Boduppal,2300000,1100,2,0,0,0,0,0
Somajiguda,12000000,1745,3,0,0,1,0,0
Nagole,2500000,970,2,0,0,0,0,0
Kukatpally,5777000,1090,2,0,1,1,0,1
Kukatpally,7605000,1435,3,0,0,0,0,1
Beeramguda,2600000,684,1,0,0,0,0,0
Beeramguda,4500000,1040,2,0,0,0,0,1
Beeramguda,3000000,850,2,0,0,0,0,1
Beeramguda,3200000,1150,2,0,0,0,0,1
Neknampur,7000000,1605,3,0,0,0,0,1
Beeramguda,3000000,850,2,0,0,0,0,1
Beeramguda,3200000,1150,2,0,0,0,0,1
Neknampur,7000000,1605,3,0,0,0,0,1
Mallapur,5500000,1000,2,0,0,0,0,1
Kukatpally,5777000,1090,2,0,1,1,0,1
Kukatpally,7605000,1435,3,0,0,0,0,1
Nagole,8502000,1635,3,0,1,1,0,1
Nagole,8242000,1585,3,0,1,1,0,1
Appa Junction Peerancheru,11000000,1730,3,0,1,1,0,1
Appa Junction Peerancheru,10700000,1665,3,0,1,1,0,1
Appa Junction Peerancheru,9240000,1482,2,0,1,1,0,1
Appa Junction Peerancheru,8800000,1385,2,0,1,1,0,1
Ambedkar Nagar,3400000,1000,2,0,0,0,0,0
Gachibowli,9500000,1035,2,0,1,1,0,1
Toli Chowki,4700000,1250,2,0,0,0,0,1
Toli Chowki,4700000,1250,2,0,0,0,0,1
Hafeezpet,5000000,1000,2,0,0,1,0,1
Saroornagar,4788000,1260,2,0,0,0,0,1
Beeramguda,2880000,950,2,0,0,0,0,0
Gachibowli,5500000,850,2,0,0,0,0,1
Nanakramguda,8500000,1260,2,0,1,1,0,1
Saroornagar,5500000,1050,2,0,0,0,0,1
Bachupally,4400000,1250,2,0,1,1,0,1
Kondapur,14000000,1908,3,0,0,0,0,1
Gajularamaram,6931000,1555,3,0,0,0,0,0
Narsingi,12000000,1720,3,0,1,1,0,1
